id,stage,diff,breed,win,rank,wave_reached,wave_pct,score,kills,max_combo,clear_time,hp_remaining,hp_pct,coins_earned,upgrade_total,lang,ts,upgrade_house,upgrade_pow,upgrade_rate,upgrade_combo,upgrade_ally,upgrade_barkCd,upgrade_bark,upgrade_speed,upgrade_blast,upgrade_trap
002BfHQnkOeu9u8IMVht,park,endless,husky,FALSE,-,7,7,282610,217,60,124.2,0,0,11304,29,ja,2026-06-15T15:50:46.716Z,2,4,3,3,2,3,3,3,3,3
00DnBebBckDbE1fiehnb,park,normal,shiba,TRUE,S,12,100,351850,321,49,170.2,16,100,7898,14,ja,2026-06-20T16:06:11.486Z,3,3,5,,,,,,3,
02BOYaIcKhBwprJcDSeB,park,normal,shiba,TRUE,S,12,100,331380,297,49,177.8,13,81,7444,10,ja,2026-06-20T16:02:39.038Z,3,3,4,,,,,,,
1QC2PMwEKTMnmvXWM2S4,park,normal,shiba,FALSE,-,6,50,74450,103,21,89,0,0,1654,0,ja,2026-06-15T07:12:48.246Z,,,,,,,,,,
1oRilfQg7bohIxb5tHsJ,park,normal,shiba,FALSE,-,5,42,60150,83,21,83.9,0,0,1336,0,ja,2026-06-15T17:37:31.384Z,,,,,,,,,,
1zP5f4tqy42dVwQVMaHW,park,hard,husky,FALSE,-,5,42,78210,98,29,78.6,0,0,2607,4,ja,2026-06-15T12:05:48.815Z,,,,,,,,,4,
20o5RpTaK6L1JVu0ECVG,park,endless,golden,FALSE,-,6,6,117740,124,39,89.5,0,0,4709,0,ja,2026-06-15T12:46:32.942Z,,,,,,,,,,
2V3JjGtZ02rnv6LQ7zTT,park,endless,pug,FALSE,-,5,5,70910,92,28,83.2,0,0,2836,0,ja,2026-06-15T15:35:33.182Z,,,,,,,,,,
3KXGmxOsFtmTSJVa4dVv,park,endless,shiba,FALSE,-,5,5,66890,84,29,79.4,0,0,2675,0,ja,2026-06-15T12:24:26.431Z,,,,,,,,,,
405LDx0NeLSYdAjaW4Y2,park,normal,shiba,TRUE,S,12,100,326030,288,49,174,8,80,7325,0,ja,2026-06-21T08:32:37.087Z,,,,,,,,,,
48lQYL4cAtzrvzun58Z0,park,normal,shiba,FALSE,-,6,50,71060,105,20,99.1,0,0,1579,0,ja,2026-06-16T09:57:06.744Z,,,,,,,,,,
4yX6OUK5oFK8FGQdewEX,park,hard,shiba,TRUE,S,12,100,830340,517,76,233.5,16,100,27798,27,ja,2026-06-15T07:21:36.365Z,4,2,2,3,2,3,2,2,4,3
53aSgxEkvcnz8VqjJ26v,park,easy,husky,FALSE,-,9,75,129170,161,28,153.9,0,0,2009,0,ja,2026-06-15T10:35:50.389Z,,,,,,,,,,
5Y79aMhWOSbtijOWpAa6,park,easy,pug,TRUE,S,12,100,235970,242,37,143.1,22,100,3726,40,ja,2026-06-22T06:32:53.772Z,5,5,5,3,2,3,5,5,4,3
5caiG4Wdo3zjdspYMpDq,snow,normal,pug,FALSE,-,5,42,120900,133,30,111.9,0,0,2686,0,ja,2026-06-15T15:23:17.013Z,,,,,,,,,,
60lMC6miX2wwoVp1K2Qo,snow,endless,husky,FALSE,-,13,13,5135000,1297,252,312.2,0,0,205400,40,ja,2026-06-15T07:18:41.978Z,5,5,5,3,2,3,5,5,4,3
65SP5G09Eq7lblhQIeyV,park,endless,golden,FALSE,-,8,8,488330,311,75,151.3,0,0,19533,20,ja,2026-06-15T06:51:30.289Z,1,5,5,1,1,1,3,1,1,1
6L56EHPUG95HA076MF0h,beach,normal,shiba,TRUE,S,12,100,405370,317,54,160.1,14,100,9088,24,en,2026-06-22T06:59:29.954Z,2,4,4,1,2,1,3,2,3,2
6gfroNbA6scFFfsws5l4,park,normal,shiba,FALSE,-,6,50,98750,119,27,91.8,0,0,2194,0,ja,2026-06-15T07:46:01.433Z,,,,,,,,,,
76y0yNJjs8w491l4oTGw,park,normal,shiba,FALSE,-,11,92,298140,269,45,161.9,0,0,6625,0,ja,2026-06-22T07:41:24.183Z,,,,,,,,,,
7CiC56ow5MyqqAW6CJ7P,park,easy,shiba,TRUE,S,12,100,256910,260,37,153.4,22,100,4052,40,ja,2026-06-22T06:51:25.355Z,5,5,5,3,2,3,5,5,4,3
8TaFiCL6hbi9wd23kCxZ,park,normal,pug,FALSE,-,5,42,62990,88,21,78.2,0,0,1399,0,ja,2026-06-15T15:24:55.724Z,,,,,,,,,,
8wMPgVgSsgUHxKmrH3lJ,beach,hard,husky,TRUE,S,12,100,1047150,597,86,232.4,18,100,35025,32,ja,2026-06-15T08:31:36.408Z,5,5,5,1,2,3,5,1,4,1
9Uw7uUdhVx1hOX18L0J4,park,endless,shiba,FALSE,-,4,4,40310,62,17,61.6,0,0,1612,0,ja,2026-06-15T12:23:04.301Z,,,,,,,,,,
9jM9mnJG0AbQHCkyxASI,park,hard,corgi,TRUE,S,12,100,829650,517,75,223.1,14,100,27775,35,ja,2026-06-15T12:12:21.763Z,3,5,5,2,2,2,5,4,4,3
A37MRADgrVxWCuIthd8i,snow,normal,dal,FALSE,-,5,42,101230,123,27,95.9,0,0,2249,0,ja,2026-06-22T07:35:57.674Z,,,,,,,,,,
AaTI81uaK6IOXjz7B0BZ,park,normal,shiba,FALSE,-,7,58,109150,135,30,124.9,0,0,2425,0,ja,2026-06-15T07:33:15.339Z,,,,,,,,,,
AhXgmLRtlxS6OWh1mEyc,park,endless,husky,FALSE,-,6,6,221800,176,59,109.1,0,0,8872,24,ja,2026-06-15T15:48:22.670Z,2,2,2,3,2,3,2,2,3,3
AnKg8YBQLVJ1xXn1qZYQ,snow,endless,husky,FALSE,-,5,5,165900,158,38,108.1,0,0,6636,40,ja,2026-06-15T15:47:26.828Z,5,5,5,3,2,3,5,5,4,3
AwQgtwP1OfuFrV0y6k6q,park,easy,corgi,TRUE,S,12,100,294210,295,44,206.9,9,75,4632,3,en,2026-06-15T06:37:49.459Z,,1,1,,,,1,,,
B1f81MRnnrtuiodBxftX,park,easy,pug,TRUE,S,12,100,218690,224,37,154.4,12,100,3457,0,ja,2026-06-22T06:41:24.899Z,,,,,,,,,,
BaIzd3pcWT0nFdpuUZrz,beach,normal,shiba,FALSE,-,5,42,66870,96,26,88.3,0,0,1486,0,ja,2026-06-24T14:45:02.305Z,,,,,,,,,,
CZKw8viY5KL9fzBhwC1n,beach,easy,corgi,TRUE,S,12,100,263950,265,41,177.6,11,92,4161,0,ja,2026-06-22T06:55:19.502Z,,,,,,,,,,
